Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line._AN_L33-RAMAL,    1.21957,   -62.07,    1.24399,   116.34,          0,     0.00,          0,     0.00,  0.0419841,    62.70,    1.21957,   117.93,    1.24399,   -63.66,          0,     0.00,          0,     0.00,  0.0419829,  -117.30
Line._ACN_L34-RAMAL,     1.0883,   -62.08,    1.09184,    58.22,      1.067,   176.03,          0,     0.00,  0.0451664,    63.41,    1.08831,   117.92,    1.09185,  -121.78,    1.06701,    -3.97,          0,     0.00,   0.045166,  -116.59
Line._AN_L35-RAMAL,    1.59118,   -61.97,    1.56624,   117.55,          0,     0.00,          0,     0.00,  0.0281778,   -34.47,    1.59119,   118.03,    1.56625,   -62.45,          0,     0.00,          0,     0.00,  0.0281779,   145.52
Line._BN_L36-RAMAL, 1.13644E-005,   -60.11, 9.7658E-006,   119.87,          0,     0.00,          0,     0.00, 1.5986E-006,   -60.03, 5.70185E-013,  -103.40, 1.34747E-013,   176.98,          0,     0.00,          0,     0.00, 6.09048E-013,  -115.97
Line._CN_L37-RAMAL,    1.58101,    58.21,    1.57306,  -120.98,          0,     0.00,          0,     0.00,  0.0236601,   -11.75,    1.58102,  -121.79,    1.57306,    59.02,          0,     0.00,          0,     0.00,  0.0236618,   168.26
Line._BN_L38-RAMAL,   0.528987,   178.09,    0.54842,    -2.95,          0,     0.00,          0,     0.00,  0.0217807,   -29.28,   0.528991,    -1.91,   0.548423,   177.05,          0,     0.00,          0,     0.00,    0.02178,   150.72
Line._AN_L39-RAMAL,    1.86539,   -61.97,    1.83986,   117.62,          0,     0.00,          0,     0.00,  0.0287109,   -34.94,    1.86539,   118.03,    1.83986,   -62.38,          0,     0.00,          0,     0.00,   0.028711,   145.06
Reactor.GND_R01,  0.0101264,  -148.39,          0,     0.00,          0,     0.00,          0,     0.00,  0.0101264,  -148.39,  0.0101264,    31.61,          0,     0.00,          0,     0.00,          0,     0.00,  0.0101264,    31.61
Reactor.GND_R02, 0.00529477,  -117.80,          0,     0.00,          0,     0.00,          0,     0.00, 0.00529477,  -117.80, 0.00529477,    62.20,          0,     0.00,          0,     0.00,          0,     0.00, 0.00529477,    62.20
Reactor.GND_R03,    0.01944,   107.88,          0,     0.00,          0,     0.00,          0,     0.00,    0.01944,   107.88,    0.01944,   -72.12,          0,     0.00,          0,     0.00,          0,     0.00,    0.01944,   -72.12
Reactor.GND_R04,  0.0518022,    65.75,          0,     0.00,          0,     0.00,          0,     0.00,  0.0518022,    65.75,  0.0518022,  -114.25,          0,     0.00,          0,     0.00,          0,     0.00,  0.0518022,  -114.25
Reactor.GND_R05,  0.0527902,    65.68,          0,     0.00,          0,     0.00,          0,     0.00,  0.0527902,    65.68,  0.0527902,  -114.32,          0,     0.00,          0,     0.00,          0,     0.00,  0.0527902,  -114.32
Reactor.GND_R06,  0.0419829,    62.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0419829,    62.70,  0.0419829,  -117.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0419829,  -117.30
Reactor.GND_R07, 0.00532676,   -46.18,          0,     0.00,          0,     0.00,          0,     0.00, 0.00532676,   -46.18, 0.00532676,   133.82,          0,     0.00,          0,     0.00,          0,     0.00, 0.00532676,   133.82
