Nome_ID,Case,Simulation,Barras,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
11,1,1,bus_33998182_004,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.77966889829804,-29.7196054721039,-29.750452829797485,-29.841519026399105,-29.847240954579753,-29.824305146508852,-29.861926109020725,-29.791667987687454,-29.85341205802531,-29.81443057103723,-29.76055796338227,-29.75715191532338,-29.790934841243246,-29.856267661127866,-29.831467925315707,-29.84559014479124,-29.837727139812877,-29.91595884819092,-29.89652403102052,-29.88202552271143,-29.883547522099786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,1,1,bus_33998182_005,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.776408745164144,-29.711344488138973,-29.741386931218386,-29.83575955713413,-29.843596890333814,-29.816377847584405,-29.853491090188818,-29.78074192051083,-29.844023618365224,-29.802830588218814,-29.74854260113814,-29.746399490231227,-29.781366245385087,-29.844641088046966,-29.819780605219062,-29.836239736980502,-29.828467460501415,-29.906085952353052,-29.88611620409812,-29.872739251225653,-29.87643482710165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,1,1,bus_33998182_017,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.761861662351194,-29.696661497505715,-29.72581839121031,-29.818491304497314,-29.825919527167894,-29.79976265331164,-29.838197523643444,-29.76521026865719,-29.828013465618454,-29.787643901356265,-29.733393711978362,-29.730985423008676,-29.766786694897526,-29.829305631711765,-29.805041049230205,-29.821433267868304,-29.813804077278988,-29.89174189962166,-29.87160916121882,-29.85799894217654,-29.861521240308424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,1,1,bus_33998182_018,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.774221317173673,-29.714247594344066,-29.745151971012746,-29.836310047093967,-29.84202525438062,-29.819021532064074,-29.856680777462635,-29.786357979915586,-29.848171405332888,-29.809126707410783,-29.755187815838088,-29.75176679505727,-29.785580517046313,-29.850936947598807,-29.82608971640216,-29.840217398986088,-29.832337264065586,-29.91055570527972,-29.891099624713096,-29.876577326210374,-29.878091168393325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,1,1,bus_33998182_019,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,1,1,bus_33998182_020,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.775643984303077,-29.710611713383347,-29.740662285975898,-29.83503213632549,-29.842882358224397,-29.81563366920908,-29.852739211972274,-29.779995594708478,-29.84327562550687,-29.80206620989045,-29.747787255663447,-29.745648104506973,-29.780610515587053,-29.84386498336207,-29.81899534632068,-29.83545626536564,-29.827684341087863,-29.905261515517676,-29.885286172441653,-29.871923724962222,-29.87562139499953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,1,1,bus_33998182_021,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.771764813466337,-29.70673097160061,-29.7368274136438,-29.831342351828972,-29.839205531986778,-29.811874274922094,-29.84889553701318,-29.776143532000432,-29.839471996519514,-29.798208089661685,-29.74390288848992,-29.741780654119687,-29.776700586212456,-29.83998726857676,-29.815086343374205,-29.83156479499007,-29.823778950659406,-29.901341760469776,-29.881386492796768,-29.868017016516816,-29.87173887215601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1,1,bus_33998182_022,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,1,1,bus_33998182_007,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.657708495858675,-29.591986041617595,-29.628082642265774,-29.726831905588128,-29.73059710202315,-29.71215950423067,-29.753310331639007,-29.678693056597336,-29.745596260258424,-29.705508905235924,-29.64633917508048,-29.641872017941335,-29.677122624355516,-29.757203946846,-29.729573557055733,-29.741932701303217,-29.733070790564316,-29.825951294554965,-29.80538718825517,-29.78788386554266,-29.786635725759155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1,1,bus_33998182_023,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
