Nome_ID,Case,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
733,1,3,PVSystem.PV_6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6551,30.8363,30.8796,30.9345,30.9462,28.6051,28.5914,28.5933,28.5938,27.9304,27.9229,27.9053,27.8993,25.0796,25.0331,25.0432,25.0362,21.5923,21.5865,21.5894,21.6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,1,3,PVSystem.PV_7,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1671,30.1598,30.1597,30.1565,30.1644,27.9975,28.0009,28.0152,28.0051,27.4077,27.4091,27.4092,27.3917,24.631,24.6298,24.6247,24.6211,21.2504,21.2424,21.2422,21.2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,1,3,PVSystem.PV_8,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9974,30.021,30.0195,30.0172,30.0242,27.8457,27.8507,27.8558,27.8519,27.2403,27.2404,27.2422,27.2323,24.459,24.4591,24.4566,24.4527,21.0851,21.078,21.0762,21.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,1,3,Vsource.SOURCE,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87042,1.03243,1.00729,0.959599,0.950425,0.914142,0.919082,0.944459,0.91772,0.931223,0.952808,0.950708,0.937685,0.810883,0.840892,0.824107,0.834522,0.708377,0.714719,0.714682,0.699248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,1,3,Line._ABCN_L01-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8902,10.9815,11.1255,12.1026,12.401,11.2534,12.1263,10.6783,11.6157,10.695,9.88575,9.93716,11.0295,10.8941,10.4493,11.1329,10.9593,11.098,10.6264,10.6038,11.0594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,1,3,Line._CN_L02-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50171E-06,6.49498E-06,6.49424E-06,6.4931E-06,6.49239E-06,6.49867E-06,6.49975E-06,6.49993E-06,6.4993E-06,6.50174E-06,6.50219E-06,6.5015E-06,6.5017E-06,6.50723E-06,6.5084E-06,6.50746E-06,6.50822E-06,6.51622E-06,6.51671E-06,6.51652E-06,6.51512E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1,3,Line._ABCN_L03-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1274,56.1209,55.1542,54.9579,55.0363,50.6566,51.1494,51.2698,50.8337,50.427,50.8883,50.8018,50.3904,43.2062,44.5034,44.0296,44.6238,37.7875,37.8885,37.8589,37.3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,1,3,Line._ABCN_L04-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23796E-05,1.23887E-05,1.23865E-05,1.23819E-05,1.23815E-05,1.23837E-05,1.23802E-05,1.23854E-05,1.23814E-05,1.23834E-05,1.23877E-05,1.23882E-05,1.23837E-05,1.23785E-05,1.23818E-05,1.2379E-05,1.23799E-05,1.23743E-05,1.23762E-05,1.23763E-05,1.23747E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,1,3,Line._ABCN_L05-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74896,1.61554,1.83685,1.93132,1.9122,1.86173,1.78876,1.73173,1.852,1.66119,1.54114,1.5451,1.63968,1.97685,1.68998,1.78667,1.66478,1.68404,1.65372,1.64916,1.74632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,1,3,Line._ABCN_L06-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1635,9.39172,9.29517,10.1806,10.502,9.39783,10.3586,8.95581,9.77376,9.04968,8.36251,8.41029,9.41304,8.91763,8.76934,9.35615,9.31368,9.43289,8.98841,8.97053,9.32535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,1,3,Line._AN_L07-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17049,2.40415,2.47441,2.58627,2.57945,2.40877,2.47516,2.39606,2.47544,2.38858,2.30699,2.27904,2.31158,2.27543,2.20472,2.20806,2.18657,2.09488,2.0571,2.0239,2.01695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,1,3,Line._BCN_L08-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745601,0.526689,0.65993,0.590043,0.587906,0.604249,0.439192,0.507309,0.499407,0.413439,0.413318,0.442953,0.467689,0.707329,0.493998,0.584008,0.488823,0.445968,0.457209,0.496147,0.618199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,1,3,Line._ABCN_L09-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03147,1.09488,1.18757,1.34779,1.3308,1.2639,1.36649,1.23045,1.36181,1.26532,1.13914,1.10877,1.17866,1.27887,1.20141,1.20826,1.18122,1.24804,1.20371,1.15721,1.13625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,1,3,Line._ABCN_L10-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708958,0.699851,0.719872,0.700342,0.736067,0.719518,0.73199,0.733007,0.731394,0.705748,0.726015,0.731529,0.734281,0.750404,0.730113,0.728299,0.733866,0.723203,0.696936,0.735658,0.729211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,1,3,Line._ABCN_L11-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45611,8.69566,8.58067,9.48155,9.76761,8.68314,9.62846,8.23126,9.0461,8.34985,7.64982,7.69211,8.68436,8.17738,8.04898,8.63342,8.58597,8.71457,8.29722,8.24347,8.60196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1,3,Line._AN_L12-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59575,2.85453,2.94725,3.10017,3.08878,2.89834,2.99329,2.87678,2.99217,2.87775,2.7627,2.72739,2.77801,2.76375,2.67226,2.6772,2.64813,2.56934,2.5185,2.47172,2.45865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,1,3,Line._BCN_L13-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113786,0.00803401,0.0100688,0.00900128,0.00896865,0.00921912,0.00669715,0.00773828,0.00761742,0.00630355,0.00630182,0.006755,0.00713308,0.0107943,0.00753579,0.00891104,0.00745672,0.00680229,0.0069742,0.00756945,0.00943433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,1,3,Line._ABCN_L14-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708964,0.699857,0.719878,0.700348,0.736073,0.719524,0.731996,0.733013,0.7314,0.705754,0.726021,0.731535,0.734287,0.75041,0.730119,0.728305,0.733872,0.723209,0.696943,0.735664,0.729217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,1,3,Line._ACN_L15-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36858,1.3222,1.45332,1.84842,1.9172,1.67797,1.48454,1.44184,1.58062,1.41699,1.35344,1.39652,1.31091,1.4246,1.33218,1.37585,1.34605,1.34236,1.36355,1.3706,1.42306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,1,3,Line._BN_L16-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46895,1.29659,1.50257,1.42606,1.42568,1.33829,1.07955,1.20199,1.18262,1.02455,1.0227,1.06411,1.09806,1.38115,1.0543,1.19177,1.04951,0.886891,0.906649,0.97449,1.16077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,1,3,Line._ABCN_L17-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0555,26.5019,25.6831,25.3206,25.3811,23.3951,23.6399,23.872,23.4251,23.5377,24.0045,23.9955,23.6375,19.6221,20.6638,20.3258,20.779,17.3327,17.4579,17.4921,17.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1,3,Line._BCN_L18-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00565795,0.003989,0.00500264,0.00447337,0.00445718,0.00458374,0.00332617,0.00384503,0.00378556,0.00313031,0.00312907,0.00335523,0.00354317,0.00537145,0.00374683,0.00443231,0.00370709,0.0033836,0.00346953,0.00376646,0.00469668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,1,3,Line._ABCN_L19-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8644,27.5975,27.2459,26.6532,26.7094,24.7585,24.382,24.8874,24.4075,24.1573,24.6267,24.7455,24.4842,21.31,21.602,21.5887,21.6947,18.058,18.2293,18.4168,18.4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,1,3,Line._ABCN_L20-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19476,1.5443,1.93565,1.72966,1.72319,1.77476,1.28929,1.48996,1.46639,1.21456,1.21434,1.30139,1.3742,2.0846,1.45497,1.7205,1.43975,1.31691,1.35029,1.46559,1.82666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,1,3,Line._ABCN_L21-SEC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21351E-06,9.24034E-06,9.23636E-06,9.23296E-06,9.23326E-06,9.22322E-06,9.22244E-06,9.22562E-06,9.22184E-06,9.22178E-06,9.22585E-06,9.22586E-06,9.22239E-06,9.20168E-06,9.20661E-06,9.20412E-06,9.20614E-06,9.18631E-06,9.18751E-06,9.18772E-06,9.186E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,1,3,Line._BCN_L22-RAMAL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23659,2.15401,2.36903,3.01617,3.12863,2.74207,2.42387,2.35437,2.58212,2.31464,2.21036,2.28121,2.1404,2.33265,2.18043,2.25203,2.20279,2.20238,2.23748,2.24896,2.33532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
