Nome_ID,Simulation,Name,V_pu_max_a,V_pu_max_b,V_pu_max_c,V_pu_min_a,V_pu_min_b,V_pu_min_c,Deseq_IEC,Deseq_IEEE,Deseq_NEMA,
32,1,bus_33998182_030,0.9940700108338387,0.0008614741426554575,0,0.974497448038064,0.00012917410018077968,0,0,0,99.97401045470016,
33,1,bus_33998182_031,0.9923862819810733,0.007329609575432975,0,0.9618333188068462,0.0012267847258511935,0,0,0,99.75306590322587,
34,1,bus_33998182_032,0.9923859651288804,0.007977304570455016,0,0.9612617091362639,0.0012277330996107257,0,0,0,99.75287516631471,
35,1,bus_33998182_033,0.9935498824556648,0.006377225201565152,0,0.9718052354091876,0.0009734213140786142,0,0,0,99.80421147462445,
36,1,bus_33998182_034,0.9935649984336088,0.9925119645427213,0.006769369653187757,0.9718921611987521,0.9621336136370499,0.001051882212464434,0,1.24221385034492,100.3875387405224,
37,1,bus_33998182_035,0.9932124361382116,0.0032339354527780267,0,0.9699838154496669,0.0005849917436862329,0,0,0,99.8822714313252,
38,1,bus_33998182_036,0.9970214175199863,0.002546494273885114,0,0.9877067893513062,0.0004463122300332897,0,0,0,99.91047745676563,
39,1,bus_33998182_037,0.993619509506019,0.002604354849122871,0,0.9699655242465092,0.00045351213034119096,0,0,0,99.90873959945557,
40,1,bus_33998182_038,0.9969880603695899,0.0023899896676150426,0,0.9874721113826116,0.0004059187072606135,0,0,0,99.9185727783035,
41,1,bus_33998182_039,0.9932002522329558,0.0033007553365143228,0,0.9699194408751827,0.0005983543539247343,0,0,0,99.87958237213076,
42,2,bus_xfmr_pri_33998182,0.9999816625288911,0.999988809175547,0.9999825670900823,0.9999312577144098,0.9999533479565894,0.9999308878499867,0.0018980723074654583,0.0018818186631840927,0,
43,2,bus_xfmr_sec_33998182,0.9962213272356657,1.0390044723398342,0.9964296399965507,0.9767317367104009,0.9949303699309142,0.984167996206398,1.849242358588873,3.573509669821549,0,
44,2,bus_33998182_001,0.9953458466407695,1.042284465533211,1.0016894395234657,0.9797169852402058,0.9933551987597128,0.9830745300254974,1.8180629281098086,3.563699549118305,0,
45,2,bus_33998182_013,0.996429640033164,0.034376257250029796,0,0.9841679962422801,0.0006642572609203316,0,0,0,99.86673196847283,
46,2,bus_33998182_006,0.994989275963906,1.0453250924091577,0.9950599937142657,0.9774058025588502,0.9910195319110894,0.9765226575414058,72051.69987945304,3.896157467588804,103.60985505544103,
47,2,bus_33998182_014,0.9953458470053883,1.0422844657981702,1.001689439691684,0.9797169856084458,0.9933551990005557,0.9830745302064202,80124.9402817408,3.563699542258942,103.00970996933741,
48,2,bus_33998182_002,0.9951504184856469,1.0465603876889493,1.005122338132406,0.9820828483328533,0.9928710989635436,0.98324873143255,78339.51972931885,3.605693318918771,103.82725761043979,
49,2,bus_33998182_003,0.9944786683018293,1.0408216942666955,1.0056095153689202,0.9791814631995103,0.9919664948320607,0.981430200291048,77217.0330035819,3.49434246905285,102.67010653317325,
50,2,bus_33998182_015,0.9951059614913857,0.03513164033635473,0,0.9818789366138968,0.0005751092957054896,0,0,0,99.8844730902444,
51,2,bus_33998182_016,1.0465067722517634,1.0051350698610126,0.03514854945524767,0.9927055707893024,0.9831236943068575,0.0005510105927843869,0,3.7124750674373423,105.51397739971034,
52,2,bus_33998182_004,0.9948592208611069,1.0534780413159703,1.0102916360483885,0.9807415591510467,0.9921027359106863,0.983537634182938,132.7682588780226,3.707119434481281,106.86994770439429,
53,2,bus_33998182_005,0.9943142293968016,1.0404558347568345,1.0118290798301304,0.9798652396607165,0.9918641066036776,0.9806423257308253,133.33415715731286,3.392152108524623,104.276021895078,
54,2,bus_33998182_017,0.9941077069908041,1.0402161545424344,1.0051270949010924,0.9784161068212901,0.9910823465312174,0.9807162960681602,132.9947902608807,3.4983939031327367,104.20242829197122,
55,2,bus_33998182_018,0.994771562130733,0.03510534569046108,0,0.9803390216502302,0.0006164529416699086,0,0,0,99.87613576365355,
56,2,bus_33998182_019,1.0569638673727455,1.0117850568957019,0.03670250701396747,0.9918272567267435,0.9835409676136989,0.0006084560966137804,0,3.9743346455457402,106.2116098060231,
57,2,bus_33998182_020,0.9943029652650897,1.0403870858560067,1.01180927223017,0.9798084662369643,0.9918172938487885,0.9805934661792897,129.45695303215552,3.392444525847643,102.94430616289323,
58,2,bus_33998182_021,0.9942481739518421,1.0150793403070624,0.03666786123941803,0.979484822961998,0.9802726476263713,0.00036347121449171094,0,2.7475286200650797,100.48358621044522,
59,2,bus_33998182_022,1.046717147802514,0.03172859613228469,0,0.9908607273894627,0.00039357040548509547,0,0,0,99.92109994916662,
60,2,bus_33998182_007,0.9942177555737112,1.0468577313031782,0.9942078049337131,0.9752717702402139,0.988897689660015,0.9718313068553466,109.61526680421943,4.0413464896452265,99.84568543297742,
61,2,bus_33998182_023,1.04531227910586,0.9950601818228137,0.03173585180043738,0.9910179456768308,0.9765265890253866,0.00036345462980436175,0,5.01237042563038,99.92705611100153,
62,2,bus_33998182_008,0.9939595836896173,1.0458452893058225,0.9933687589227866,0.9739323718407423,0.9868039461304189,0.9667932569072166,135.58591656058672,4.034588594594312,99.76476231158958,
63,2,bus_33998182_009,0.9939180368063993,1.0483171899038737,0.9940326360881974,0.9737057330434697,0.988445056915465,0.9710578322605675,135.71957278463904,4.125951811436707,99.83166042070974,
64,2,bus_33998182_010,0.9941298128335039,1.046852775884291,0.9942103787516579,0.9748109135922849,0.9889237998931046,0.9718446865182514,135.70388906514103,4.054745107874364,99.84668066132697,
65,2,bus_33998182_024,1.0457123019337857,0.9932885522608851,0.02909806631149482,0.9864912054106069,0.9662465328515261,0.0005156657386400736,0,5.384039938988774,99.75267787831952,
66,2,bus_33998182_011,0.9936226341806639,1.0456462751779376,0.992569322075152,0.9721863700375866,0.9867492382682408,0.9622424871173181,187.1398761665503,4.08357351319626,99.7626878697161,
67,2,bus_33998182_025,1.0457064986420346,0.029289150573718756,0,0.9864542701091649,0.0004565412043634511,0,0,0,99.90841375588761,
68,2,bus_33998182_026,0.9939146842683921,1.0482642630366037,0.02939034825776061,0.973697050641023,0.9882789065022031,9.834348556423361E-05,0,6.134663485186553,100.09748502830298,
69,2,bus_33998182_027,0.9940056328781809,0.029341560719265167,0,0.9709404750332392,8.17851568651878E-05,0,0,0,99.98354207203955,
70,2,bus_33998182_012,0.9933446712062721,1.0529121339035463,0.9937714227236747,0.9706813396259046,0.9877067892476439,0.9698651488115684,15444.361258011137,4.321411801867282,108.00224377708696,
71,2,bus_33998182_028,0.9938430586745497,0.029364458125464205,0,0.9733121059551184,0.00018404519691838942,0,0,0,99.96296978297643,
72,2,bus_33998182_029,0.9939838799472457,0.02932901151553792,0,0.9708429163929917,7.452488850579724E-05,0,0,0,99.98500262429559,
73,2,bus_33998182_030,0.9940700108338387,0.030311314868845387,0,0.9744974480412819,0.00012917410018077968,0,0,0,99.97401045470016,
74,2,bus_33998182_031,0.9923862819810733,0.026871219734322393,0,0.9615515602635327,0.0012267847258511935,0,0,0,99.75306590322587,
75,2,bus_33998182_032,0.9923859651288804,0.026904791607048832,0,0.9609804751257656,0.0012277330996107257,0,0,0,99.75287516631471,
76,2,bus_33998182_033,0.9935498824556648,0.027116956938060262,0,0.9718052354126727,0.0009734213140786142,0,0,0,99.80421147462445,
77,2,bus_33998182_034,0.9935649984336088,0.9925119645427213,0.02707360662398502,0.9718921612022279,0.9618497227778929,0.001051882212464434,0,1.2208665738726638,100.3875387405224,
78,2,bus_33998182_035,0.9932124361382116,0.027839405320408867,0,0.9699838154536119,0.0005849917436862329,0,0,0,99.8822714313252,
79,2,bus_33998182_036,1.0557634332907075,0.02797112842718848,0,0.9877067893496997,0.0004463122300332897,0,0,0,99.91047745676563,
80,2,bus_33998182_037,0.993619509506019,0.027600433115316767,0,0.9693034023613455,0.00045351213034119096,0,0,0,99.90873959945557,
81,2,bus_33998182_038,1.0528531703456765,0.02799996531809973,0,0.9874721113809929,0.0004059187072606135,0,0,0,99.9185727783035,
82,2,bus_33998182_039,0.9932002522329558,0.027844358481397078,0,0.9699194408791381,0.0005983543539247343,0,0,0,99.87958237213076,
