Nome_ID,Case,Simulation,Elemento,I_pu_max_a,I_pu_max_b,I_pu_max_c,I_pu_min_a,I_pu_min_b,I_pu_min_c,
192,1,2,Load.C21,0.754587,0.751478,0.751079,0.700703,0.697802,0.697671,
193,1,2,Load.C22,0.915199,0.915199,0,0.507123,0.507123,0,
194,1,2,Load.C23,0.383957,0.383957,0,0.190376,0.190376,0,
195,1,2,Load.C24,0.0112554,0.0112554,0,0.00623693,0.00623693,0,
196,1,2,Load.C25,2.04376,2.04376,0,1.54265,1.54265,0,
197,1,2,Load.C26,1.90674,1.89642,1.89344,1.30432,1.29737,1.29555,
198,1,2,Load.C27,0.00565559,0.0056231,0.00568595,0.00313407,0.00311633,0.00315211,
199,1,2,PVSystem.PV_0,8.9904,9.14804,8.55846,6.29599,6.36395,6.0763,
200,1,2,PVSystem.PV_1,6.01391,6.1066,5.77913,4.20706,4.24739,4.0853,
201,1,2,PVSystem.PV_2,17.1045,17.1045,0,12.1362,12.1362,0,
202,1,2,PVSystem.PV_3,17.9326,17.9326,0,12.5673,12.5673,0,
203,1,2,PVSystem.PV_4,17.0298,17.0298,0,12.0991,12.0991,0,
204,1,2,PVSystem.PV_5,9.1118,8.65563,9.01413,6.34679,6.11978,6.30182,
205,1,3,Vsource.SOURCE,0.534554,1.03342,1.30815,0.261735,0.727536,0.81391,
206,1,3,Line._ABCN_L01-SEC,8.53638,18.6986,20.3567,7.18574,13.0828,14.0158,
207,1,3,Line._CN_L02-RAMAL,7.57502E-06,6.53476E-06,0,7.55473E-06,6.50615E-06,0,
208,1,3,Line._ABCN_L03-SEC,39.4868,10.5317,65.8726,23.7243,6.23355,43.3982,
209,1,3,Line._ABCN_L04-SEC,1.07337E-05,1.24482E-05,1.16728E-05,1.07E-05,1.24043E-05,1.16416E-05,
210,1,3,Line._ABCN_L05-SEC,3.59176,15.3744,16.5886,2.70943,10.973,11.5645,
211,1,3,Line._ABCN_L06-SEC,5.7111,4.54339,6.18243,5.25394,4.07555,5.81519,
212,1,3,Line._AN_L07-RAMAL,1.5496,2.82733,0,1.16911,2.02772,0,
213,1,3,Line._BCN_L08-RAMAL,0.738651,0.744962,1.21665,0.409508,0.412893,0.578169,
214,1,3,Line._ABCN_L09-SEC,2.04217,15.6298,16.8346,1.54033,11.2362,11.8476,
215,1,3,Line._ABCN_L10-SEC,9.10174,9.0631,8.42965,5.66908,6.17057,5.39851,
216,1,3,Line._ABCN_L11-RAMAL,9.76278,9.77853,9.88039,7.64118,7.65811,7.72276,
217,1,3,Line._AN_L12-RAMAL,2.04219,3.23687,0,1.54035,2.37772,0,
218,1,3,Line._BCN_L13-RAMAL,15.6298,16.8346,1.8255,11.2362,11.8476,0.681955,
219,1,3,Line._ABCN_L14-RAMAL,10.013,9.0631,9.29199,6.62718,6.17057,6.3186,
220,1,3,Line._ACN_L15-RAMAL,1.88958,1.91269,3.29259,1.29353,1.30708,2.25346,
221,1,3,Line._BN_L16-RAMAL,0.912132,0.869145,0,0.505577,0.368429,0,
222,1,3,Line._ABCN_L17-SEC,39.4868,10.9253,65.8739,23.7243,6.61098,43.3994,
223,1,3,Line._BCN_L18-RAMAL,0.00562583,0.0056723,1.51488,0.00311017,0.00313611,0.921022,
224,1,3,Line._ABCN_L19-SEC,3.26228,4.31192,10.5946,2.43274,3.25452,7.58652,
225,1,3,Line._ABCN_L20-SEC,11.6341,13.259,67.3131,6.38338,8.76969,45.0603,
226,1,3,Line._ABCN_L21-SEC,31.6714,9.16339E-06,8.63911E-06,22.0851,9.12588E-06,8.59607E-06,
227,1,3,Line._BCN_L22-RAMAL,2.02919,3.17267,2.62814,1.5316,2.16427,1.72748,
228,1,3,Line._ABCN_L23-SEC,3.26229,2.55752E-05,7.42231,2.43275,2.54701E-05,5.40825,
229,1,3,Line._BN_L24-RAMAL,2.28276,1.18911,0,1.72295,0.532848,0,
230,1,3,Line._ABN_L25-RAMAL,15.4493,13.9789,2.67091,10.517,9.66497,1.54737,
231,1,3,Line._CN_L26-RAMAL,33.6578,1.69546,0,22.3778,1.11893,0,
232,1,3,Line._ABCN_L27-SEC,4.72942,1.29539,34.2645,3.56574,0.717221,23.3826,
233,1,3,Line._AN_L28-RAMAL,2.42297,3.66481,0,1.82803,2.76427,0,
234,1,3,Line._CN_L29-RAMAL,1.50254,2.08755,0,0.831926,1.5333,0,
235,1,3,Line._AN_L30-RAMAL,31.6714,3.2708,0,22.0851,2.43449,0,
236,1,3,Line._CN_L31-RAMAL,2.47328,2.8161,0,1.86439,2.24907,0,
237,1,3,Line._CN_L32-RAMAL,3.33931,3.54396,0,2.27499,2.63148,0,
238,1,3,Line._AN_L33-RAMAL,1.67139,2.94167,0,1.26122,2.15781,0,
239,1,3,Line._ACN_L34-RAMAL,1.63764,1.67073,2.86709,1.12236,1.13859,1.97614,
240,1,3,Line._AN_L35-RAMAL,2.17713,3.42047,0,1.64146,2.54869,0,
241,1,3,Line._BN_L36-RAMAL,1.15811E-05,9.83723E-06,0,1.14913E-05,9.80008E-06,0,
242,1,3,Line._CN_L37-RAMAL,34.2645,2.91143,0,23.3827,2.28074,0,
243,1,3,Line._BN_L38-RAMAL,1.29541,0.661059,0,0.717249,0.172328,0,
244,1,3,Line._AN_L39-RAMAL,2.5523,3.77322,0,1.92429,2.85045,0,
245,1,3,Reactor.GND_R01,0.516527,0,0,0.313511,0,0,
246,1,3,Reactor.GND_R02,1.46488,0,0,0.887661,0,0,
247,1,3,Reactor.GND_R03,1.47192,0,0,0.899236,0,0,
248,1,3,Reactor.GND_R04,1.42001,0,0,0.861911,0,0,
249,1,3,Reactor.GND_R05,1.42119,0,0,0.862048,0,0,
250,1,3,Reactor.GND_R06,1.41759,0,0,0.859768,0,0,
251,1,3,Reactor.GND_R07,1.51153,0,0,0.924664,0,0,
252,1,3,Reactor.GND_R08,1.51231,0,0,0.910605,0,0,
253,1,3,Reactor.GND_R09,1.54876,0,0,0.951342,0,0,
254,1,3,Reactor.GND_R10,1.58134,0,0,0.974393,0,0,
255,1,3,Reactor.GND_R11,1.50844,0,0,0.921626,0,0,
256,1,3,Reactor.GND_R12,1.49677,0,0,0.914765,0,0,
257,1,3,Reactor.GND_R13,1.53485,0,0,0.942211,0,0,
258,1,3,Reactor.GND_R14,1.53835,0,0,0.942393,0,0,
259,1,3,Reactor.GND_R15,1.48657,0,0,0.888656,0,0,
260,1,3,Reactor.GND_R16,1.4851,0,0,0.888685,0,0,
261,1,3,Reactor.GND_R17,1.53829,0,0,0.942182,0,0,
262,1,3,Reactor.GND_R18,1.51409,0,0,0.912714,0,0,
263,1,3,Reactor.GND_R19,1.46882,0,0,0.896771,0,0,
264,1,3,Reactor.GND_R20,1.51929,0,0,0.916919,0,0,
265,1,3,Reactor.GND_R21,1.41896,0,0,0.860789,0,0,
266,1,3,Reactor.GND_R22,1.51469,0,0,0.913579,0,0,
267,1,3,Reactor.GND_R23,1.52227,0,0,0.927332,0,0,
268,1,3,Reactor.GND_R24,1.49677,0,0,0.914765,0,0,
269,1,3,Reactor.GND_R25,1.4851,0,0,0.888685,0,0,
270,1,3,Reactor.GND_R26,1.46882,0,0,0.896771,0,0,
271,1,3,Reactor.GND_R27,1.51018,0,0,0.909551,0,0,
272,1,3,Reactor.GND_R28,1.51904,0,0,0.924929,0,0,
273,1,3,Transformer.T1,0.534554,1.03342,1.30815,0.261735,0.727536,0.81391,
274,1,3,Load.C01,2.00455,2.00455,0,1.51327,1.51327,0,
275,1,3,Load.C02,2.28277,2.28277,0,1.72296,1.72296,0,
276,1,3,Load.C03,2.47324,2.47324,0,1.86439,1.86439,0,
277,1,3,Load.C04,3.33933,3.33933,0,2.27501,2.27501,0,
278,1,3,Load.C05,1.6714,1.6714,0,1.26123,1.26123,0,
279,1,3,Load.C06,1.50254,1.50254,0,0.831919,0.831919,0,
280,1,3,Load.C07,1.54961,1.54961,0,1.16911,1.16911,0,
281,1,3,Load.C08,1.29541,1.29541,0,0.717255,0.717255,0,
282,1,3,Load.C09,2.16814,2.16814,0,1.63686,1.63686,0,
283,1,3,Load.C10,2.42299,2.42299,0,1.82803,1.82803,0,
284,1,3,Load.C11,0.915204,0.915204,0,0.50698,0.50698,0,
285,1,3,Load.C12,0.629448,0.629448,0,0.348486,0.348486,0,
