hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
21, 0.00000, 0.295538, 0.184986, 0.298101, 0.183815, -0.000527395, -0.00143204
21, 900.00000, 0.272397, 0.170377, 0.274585, 0.169382, -0.000447599, -0.00122631
21, 1800.00000, 0.264465, 0.165373, 0.266507, 0.164419, -0.000424183, -0.00115905
21, 2700.00000, 0.254378, 0.159015, 0.256301, 0.158151, -0.000390195, -0.00107258
22, 0.00000, 0.239754, 0.149796, 0.241451, 0.149028, -0.000344696, -0.000949979
22, 900.00000, 0.226943, 0.141744, 0.22849, 0.141057, -0.000309273, -0.000865263
22, 1800.00000, 0.207806, 0.129702, 0.209087, 0.129122, -0.000257413, -0.000721283
22, 2700.00000, 0.206646, 0.128957, 0.207875, 0.128379, -0.000253871, -0.000700561
23, 0.00000, 0.171229, 0.106732, 0.172101, 0.106352, -0.000172426, -0.000483567
23, 900.00000, 0.167828, 0.104597, 0.168647, 0.104223, -0.000165554, -0.000464027
23, 1800.00000, 0.158105, 0.0985097, 0.158842, 0.0981803, -0.000146315, -0.000416238
23, 2700.00000, 0.146317, 0.0911256, 0.146939, 0.090841, -0.000125184, -0.000353813
24, 0.00000, 0.116233, 0.0723133, 0.116627, 0.0721397, -7.78374E-005, -0.000221683
