hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
15, 0.00000, 0.086864, 0.053744, 0.0869143, 0.0538698, 0.0867793, 0.0538511, 1.92478E-006, 2.2219E-007
15, 900.00000, 0.0859728, 0.0531928, 0.0860015, 0.0533163, 0.0858792, 0.0532795, 1.70668E-006, 1.96715E-007
15, 1800.00000, 0.0804149, 0.0497461, 0.0804654, 0.0498751, 0.0803295, 0.0498542, 2.27942E-006, 2.39324E-007
15, 2700.00000, 0.0832402, 0.0514922, 0.0832765, 0.0516271, 0.0831405, 0.0515915, 2.22484E-006, 2.4686E-007
16, 0.00000, 0.0830136, 0.0513508, 0.0830693, 0.0514879, 0.082924, 0.0514678, 2.44425E-006, 2.68456E-007
16, 900.00000, 0.0840489, 0.0519803, 0.0841137, 0.0521355, 0.0839475, 0.0521133, 3.07424E-006, 3.3927E-007
16, 1800.00000, 0.0789139, 0.0487987, 0.0789708, 0.0489527, 0.0788089, 0.0489247, 3.35042E-006, 3.48322E-007
16, 2700.00000, 0.0802996, 0.0496678, 0.080372, 0.0498066, 0.0802162, 0.0498017, 2.9971E-006, 3.01608E-007
17, 0.00000, 0.0842263, 0.0520672, 0.0842986, 0.0522567, 0.0840983, 0.0522218, 4.4083E-006, 4.59262E-007
17, 900.00000, 0.0792271, 0.0489515, 0.0792459, 0.049165, 0.079048, 0.0490723, 5.71729E-006, 5.69105E-007
17, 1800.00000, 0.0830569, 0.0512663, 0.0830346, 0.0515639, 0.0827868, 0.0513963, 1.00544E-005, 1.01304E-006
17, 2700.00000, 0.0843146, 0.0519958, 0.0843198, 0.0523672, 0.0839942, 0.052187, 1.50984E-005, 1.48748E-006
18, 0.00000, 0.0893681, 0.05505, 0.0893512, 0.0555335, 0.0889384, 0.0552787, 2.28312E-005, 2.43333E-006
18, 900.00000, 0.0851064, 0.0524226, 0.085167, 0.0528904, 0.0847366, 0.0527121, 2.3556E-005, 2.38215E-006
18, 1800.00000, 0.0819232, 0.0504936, 0.0819913, 0.050895, 0.0816108, 0.0507594, 1.92188E-005, 1.87975E-006
18, 2700.00000, 0.0853743, 0.0526077, 0.0854872, 0.0530487, 0.0850512, 0.0529269, 2.17597E-005, 2.17383E-006
19, 0.00000, 0.0762864, 0.047038, 0.0763733, 0.0473844, 0.0760286, 0.0472925, 1.72457E-005, 1.51917E-006
19, 900.00000, 0.0751628, 0.046347, 0.0752639, 0.0466889, 0.0749175, 0.0466087, 1.74687E-005, 1.52182E-006
19, 1800.00000, 0.0744066, 0.045882, 0.074506, 0.0462181, 0.0741645, 0.0461386, 1.72481E-005, 1.48956E-006
19, 2700.00000, 0.0745109, 0.0459555, 0.0745703, 0.0462763, 0.0742584, 0.0461706, 1.51992E-005, 1.32532E-006
20, 0.00000, 0.0762872, 0.0470585, 0.0763599, 0.0473775, 0.0760471, 0.0472845, 1.44051E-005, 1.27426E-006
20, 900.00000, 0.0723872, 0.044646, 0.0724258, 0.0449575, 0.0721332, 0.0448356, 1.4727E-005, 1.24407E-006
20, 1800.00000, 0.0590369, 0.0364197, 0.0590753, 0.0366629, 0.0588454, 0.0365771, 1.35866E-005, 9.32453E-007
20, 2700.00000, 0.0360003, 0.0222178, 0.0360244, 0.0223526, 0.0358954, 0.0223066, 1.1218E-005, 4.76162E-007
21, 0.00000, 0.0288761, 0.0178208, 0.0289, 0.0179293, 0.0287943, 0.0178965, 1.15052E-005, 3.95666E-007
21, 900.00000, 0.0251511, 0.0155277, 0.0251698, 0.0156132, 0.0250865, 0.0155877, 9.49712E-006, 2.85278E-007
21, 1800.00000, 0.0236904, 0.0146296, 0.0237019, 0.0147042, 0.0236309, 0.0146776, 8.02942E-006, 2.21685E-007
21, 2700.00000, 0.0246147, 0.0152004, 0.0246338, 0.0152789, 0.0245569, 0.0152566, 8.31862E-006, 2.40418E-007
22, 0.00000, 0.0216202, 0.0133531, 0.0216379, 0.0134188, 0.0215724, 0.013402, 7.76101E-006, 2.00606E-007
22, 900.00000, 0.0205205, 0.0126747, 0.0205441, 0.0127364, 0.0204796, 0.0127262, 7.977E-006, 1.92896E-007
22, 1800.00000, 0.0192709, 0.0119066, 0.0192889, 0.0119583, 0.019235, 0.0119488, 6.42412E-006, 1.50142E-007
22, 2700.00000, 0.019575, 0.0120958, 0.0195879, 0.0121462, 0.0195373, 0.0121327, 5.63673E-006, 1.34095E-007
23, 0.00000, 0.0197228, 0.0121922, 0.0197377, 0.0122358, 0.0196929, 0.0122278, 4.35751E-006, 1.06584E-007
23, 900.00000, 0.0206271, 0.0127513, 0.0206445, 0.0127971, 0.0205963, 0.0127895, 4.427E-006, 1.12162E-007
23, 1800.00000, 0.0186248, 0.0115145, 0.0186423, 0.0115544, 0.0185994, 0.0115497, 4.25442E-006, 9.90837E-008
23, 2700.00000, 0.0193978, 0.0119951, 0.0194123, 0.0120323, 0.0193727, 0.0120268, 3.41356E-006, 8.27231E-008
24, 0.00000, 0.0176127, 0.0108963, 0.0176215, 0.0109223, 0.0175947, 0.0109177, 2.002E-006, 4.63216E-008
