hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
17, 0.00000, 0.0842211, 0.052068, 0.0842929, 0.0522578, 0.0840929, 0.0522227, 7.24247E-008, 4.55182E-007
17, 900.00000, 0.0792218, 0.0489522, 0.0792406, 0.0491662, 0.0790431, 0.0490733, 8.1177E-008, 5.6306E-007
17, 1800.00000, 0.0830512, 0.0512669, 0.0830291, 0.051565, 0.0827809, 0.0513972, 1.66123E-007, 1.00332E-006
17, 2700.00000, 0.0843087, 0.0519964, 0.0843141, 0.0523683, 0.0839881, 0.0521879, 2.97304E-007, 1.47289E-006
18, 0.00000, 0.0893614, 0.0550505, 0.0893447, 0.0555344, 0.0889315, 0.0552796, 4.75051E-007, 2.41103E-006
18, 900.00000, 0.085101, 0.0524233, 0.085161, 0.0528913, 0.0847296, 0.0527129, 5.00223E-007, 2.36226E-006
18, 1800.00000, 0.0819179, 0.0504944, 0.0819863, 0.0508961, 0.0816046, 0.0507603, 3.74274E-007, 1.86194E-006
18, 2700.00000, 0.0853687, 0.0526084, 0.0854812, 0.0530496, 0.0850449, 0.0529278, 4.55483E-007, 2.15422E-006
19, 0.00000, 0.0762814, 0.0470386, 0.0763691, 0.0473856, 0.0760233, 0.0472934, 3.15595E-007, 1.50194E-006
19, 900.00000, 0.0751577, 0.0463477, 0.075259, 0.0466899, 0.074912, 0.0466095, 3.17697E-007, 1.50514E-006
19, 1800.00000, 0.0744018, 0.0458827, 0.0745014, 0.0462191, 0.0741595, 0.0461395, 3.09636E-007, 1.4727E-006
19, 2700.00000, 0.0745054, 0.045956, 0.0745657, 0.0462774, 0.0742534, 0.0461715, 2.65682E-007, 1.30888E-006
20, 0.00000, 0.076282, 0.0470591, 0.076355, 0.0473785, 0.0760414, 0.0472853, 2.67676E-007, 1.26028E-006
20, 900.00000, 0.0723826, 0.0446467, 0.0724216, 0.0449586, 0.0721289, 0.0448366, 2.51716E-007, 1.22875E-006
20, 1800.00000, 0.0590339, 0.0364205, 0.0590725, 0.0366642, 0.0588418, 0.0365781, 1.98376E-007, 9.19335E-007
20, 2700.00000, 0.0359995, 0.0222188, 0.0360233, 0.022354, 0.035894, 0.0223077, 9.82632E-008, 4.65395E-007
21, 0.00000, 0.0288754, 0.0178218, 0.0288991, 0.0179306, 0.0287928, 0.0178975, 8.40057E-008, 3.84677E-007
21, 900.00000, 0.0251508, 0.0155287, 0.0251696, 0.0156147, 0.0250855, 0.0155888, 5.80605E-008, 2.76127E-007
21, 1800.00000, 0.02369, 0.0146306, 0.0237017, 0.0147057, 0.0236302, 0.0146788, 4.58513E-008, 2.13458E-007
21, 2700.00000, 0.0246143, 0.0152015, 0.0246331, 0.0152803, 0.0245556, 0.0152576, 5.02843E-008, 2.32837E-007
22, 0.00000, 0.0216197, 0.0133541, 0.0216374, 0.0134202, 0.0215712, 0.013403, 4.11274E-008, 1.93201E-007
22, 900.00000, 0.0205206, 0.0126758, 0.0205438, 0.0127378, 0.0204787, 0.0127273, 4.08221E-008, 1.85778E-007
22, 1800.00000, 0.0192705, 0.0119076, 0.0192886, 0.0119598, 0.019234, 0.0119499, 2.94081E-008, 1.43803E-007
22, 2700.00000, 0.0195745, 0.0120968, 0.0195875, 0.0121477, 0.0195365, 0.0121338, 2.58401E-008, 1.28274E-007
23, 0.00000, 0.0197224, 0.0121932, 0.0197373, 0.0122372, 0.0196916, 0.0122288, 1.99261E-008, 1.02536E-007
23, 900.00000, 0.0206269, 0.0127524, 0.0206441, 0.0127986, 0.0205955, 0.0127906, 2.16089E-008, 1.07991E-007
23, 1800.00000, 0.0186249, 0.0115156, 0.0186421, 0.0115559, 0.0185987, 0.0115508, 1.82564E-008, 9.52723E-008
23, 2700.00000, 0.0193974, 0.0119961, 0.019412, 0.0120338, 0.0193718, 0.0120279, 1.50747E-008, 7.92986E-008
24, 0.00000, 0.0176123, 0.0108974, 0.0176213, 0.0109238, 0.0175937, 0.0109187, 6.97441E-009, 4.43098E-008
